sample ID	forward sequence count	reverse sequence count
Besc103-cov-R6-Oct2018-ITS	3179	3179
Besc71-R3-Jun2018-ITS	2951	2951
Besc261-corv-R6-Aug2019-ITS	1900	1900
Besc801-R7-Jun2018-ITS	1171	1171
Besc261-corv-R11-Aug2019-ITS	843	843
Ext2-Blank-P1-ITS	394	394
Besc261-R2-Oct2018-ITS	394	394
Ext3-Blank-P2-ITS	298	298
Ext2-Blank-P2-ITS	284	284
Besc835-corv-R16-Oct2018-ITS	221	221
Ext2-Blank-P3-ITS	218	218
Ext1-Blank-P2-ITS	205	205
Besc835-R8-Oct2019-ITS	142	142
Ext1-Blank-P1-ITS	109	109
label-unknown-Aug2019-ITS	96	96
D411-R22-Oct2018-ITS	67	67
Besc801-corv-R7-Oct2018-ITS	58	58
Ext1-Blank-P3-ITS	53	53
Besc103-R11-Oct2018-ITS	52	52
Besc103-corv-R6-Jun2019-ITS	24	24
NTC-Amp1-ITS-P3	9	9
NTC-Amp1-ITS-P1	5	5
NTC-Amp1-ITS-P2	5	5
NTC-Amp2-ITS-P1	4	4
NTC-Amp2-ITS-P2	3	3
NTC-Amp2-ITS-P3	3	3
